Hour,Line,P_Loss_kW,Q_Loss_kVAR,S_Loss_kVA
0,l32,8.738359155906812e-08,-0.004641438048155281,0.004641438048977859
0,l33,0.0033563515509413265,0.0019246004222241027,0.003869002780915444
0,l34,0.00972318480710237,0.009346639904539189,0.01348703081846374
0,l36,0.32257956570832175,0.6575119662420766,0.7323793839016027
0,l41,0.3225812459589506,0.6575243636243322,0.7323912540466414
0,l43,0.24240529743093067,0.4939899800760395,0.5502603280612768
0,l45,1.2198152137619909,2.547075251731614,2.8241001210489824
0,l52,0.002756267882475295,0.0021691344485147983,0.003507443070913403
0,l53,0.006892161309093602,0.013532403352792528,0.015186435658614475
0,l54,0.0015441328619569805,-0.002677050083161717,0.0030904600698167272
0,l55,0.02867455157031196,0.05830137885756935,0.06497138358117606
0,l56,0.001050690303709416,-0.0035842165970025237,0.0037350446755744886
0,l57,0.011252416998238915,0.009913677397475113,0.014996595875179973
0,l58,0.07582406635285306,0.157483808476012,0.1747868386646749
0,l59,0.0026415013590394667,0.0011846553894247335,0.0028949849432251657
0,l60,3.843863424482395e-07,-0.01179531454855208,0.011795314554815282
0,l61,0.26841736213240075,0.0764011736750981,0.27907887708146034
0,l62,0.14423532783611154,0.031908807526822784,0.14772271928777372
0,l63,0.27131749147275697,0.055155372815119334,0.27686692891973275
0,l64,0.21356760942851544,0.01682925696795428,0.21422966108152333
0,l65,0.054615532573625385,-0.04060837992011875,0.0680580408036952
0,l66,0.0840622325137956,0.08426362730115215,0.11902444211652878
0,l68,0.42677574294088116,0.8945211195493757,0.9911132972988556
0,l69,0.08032648076654005,0.0801241821336298,0.11345584196029929
0,l70,0.034212047795132094,0.033145629196460503,0.047635039090627995
0,l71,0.012871049757035508,0.011750651041285892,0.01742818756331699
0,l72,0.026857880094714345,0.025826529586884136,0.037260640811508525
0,l73,0.3172619779218003,0.6620468022346904,0.7341397217042762
0,l74,0.0037926743326370345,0.002069091251059035,0.004320360771816726
0,l75,0.004370363065181664,0.0024086639722409016,0.004990163870322836
0,l76,0.45005591511904275,0.910918576798751,1.0160329622067883
0,l77,0.10290491689388727,0.2216783587529062,0.2443986838350813
0,l78,0.10421857230104069,0.2101519567494979,0.2345748403774584
0,l79,0.003167541026748114,0.0022524910905096234,0.0038867765910787474
0,l80,0.5060696323375887,1.0376408155158279,1.1544717124289596
0,l81,0.19666207555475557,0.4035069119246327,0.4488806076591611
0,l82,0.2925968162659665,0.5875255801974272,0.6563529570858222
0,l83,0.06570429991587298,0.06316305689450746,0.09114069773539027
0,l84,0.3032004484959616,0.6180268030665756,0.6883949747614694
0,l85,0.020562618282026962,0.018426734345741352,0.027610972624318643
0,l86,0.04469718256397209,0.0842600379118594,0.09538129857610995
0,l87,0.01532029840134055,0.014696193553994817,0.02122945237359166
0,l88,0.021863809893109647,0.04381339422328892,0.04896569918225784
0,l89,0.023417141631154662,0.022465205737658835,0.032450700932474416
0,l90,0.00990105154718276,0.01698947733872046,0.01966400676319214
0,l91,0.027688089101251534,0.026537407452429763,0.03835184835669747
0,l92,0.004437567984001362,0.004388239649921161,0.006240885901678872
0,l93,0.01275814689841718,0.011624872393211262,0.01726001073116808
0,l94,0.004417210657837938,0.0032557924588789283,0.005487434239333531
0,l95,0.002121029249183266,0.0011099903153735794,0.002393918038721056
0,l96,0.008375640116642899,0.010841370251977423,0.013699877966754991
0,l97,0.013686287102238567,0.01627834283540142,0.021267320003041438
0,l98,0.004564364625461167,0.0033508795107209154,0.00566231559783897
0,l99,4.2568527696268986e-07,-0.018406525138501252,0.018406525143423638
