Hour,Microgrid,DER,Type,P_kW,Q_kvar,Rating_kVA
8,MG4,stor105,Battery,-0.0,-0.0,1200.0
8,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
9,MG1,mg1_gen1,Solar,99.998135516943,-0.00150275945814019,125.0
9,MG1,mg1_gen2,Solar,99.99813051026466,-0.001500384885749554,125.0
9,MG1,mg1_gen3,Battery,98.79814643364877,-0.0014812502340860192,100.0
9,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
9,MG2,mg2_gen1,Solar,299.99301998679755,-0.0049933547747659755,375.0
9,MG2,mg2_gen5,Solar,299.992775134266,-0.005056001236274824,375.0
9,MG2,mg2_gen3,Battery,49.39883572242781,-0.0008285076047600342,50.0
9,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
9,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
9,MG3,stor42,Battery,-0.0,-0.0,1200.0
9,MG3,gen401,Diesel,-0.0,-0.0,1200.0
9,MG4,stor105,Battery,-0.0,-0.0,1200.0
9,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
10,MG1,mg1_gen1,Solar,114.99932410676263,-0.0005668443885529086,125.0
10,MG1,mg1_gen2,Solar,114.9993204284994,-0.000568187205180493,125.0
10,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
10,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
10,MG2,mg2_gen1,Solar,344.99792243521057,-0.0014890584913882776,375.0
10,MG2,mg2_gen5,Solar,344.9978945914413,-0.0014577678514451691,375.0
10,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
10,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
10,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
10,MG3,stor42,Battery,-0.0,-0.0,1200.0
10,MG3,gen401,Diesel,-0.0,-0.0,1200.0
10,MG4,stor105,Battery,-0.0,-0.0,1200.0
10,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
11,MG1,mg1_gen1,Solar,103.09105628002376,-2.746772409523146e-11,125.0
11,MG1,mg1_gen2,Solar,103.09105628002379,-2.746737592929094e-11,125.0
11,MG1,mg1_gen3,Battery,-4.210526320000958,1.094091484077353e-12,100.0
11,MG1,mg1_gen4,Diesel_grid_forming,0.9297593698659838,106.34228124951258,350.0
11,MG2,mg2_gen1,Solar,375.0000016706514,3.876942187162058e-07,375.0
11,MG2,mg2_gen5,Solar,375.00000177545445,3.735543181164758e-07,375.0
11,MG2,mg2_gen3,Battery,-2.105263169385385,-2.274592490802974e-09,50.0
11,MG2,mg2_gen4,Diesel_grid_forming,23.010577291902212,-154.2527493564059,750.0
11,MG2,mg2_gen6,Diesel_support,22.928334239203767,-154.0115912674327,750.0
11,MG3,stor42,Battery,-0.0,-0.0,1200.0
11,MG3,gen401,Diesel_grid_forming,981.620077786376,315.2027372507843,1200.0
11,MG4,stor105,Battery,-0.0,-0.0,1200.0
11,MG4,gen1011,Diesel_grid_forming,972.1191869228519,312.87361445299956,1200.0
12,MG1,mg1_gen1,Solar,118.74971449622021,-0.0002554223620250014,125.0
12,MG1,mg1_gen2,Solar,118.74971498954159,-0.00025478016016495527,125.0
12,MG1,mg1_gen3,Battery,-96.84187276626992,0.00020819042339508087,100.0
12,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
12,MG2,mg2_gen1,Solar,356.24872133500025,-0.0010498215358202287,375.0
12,MG2,mg2_gen5,Solar,356.2486759338909,-0.0010647667680677843,375.0
12,MG2,mg2_gen3,Battery,-48.420876482892304,0.00014410244973282716,50.0
12,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
12,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
12,MG3,stor42,Battery,-0.0,-0.0,1200.0
12,MG3,gen401,Diesel,-0.0,-0.0,1200.0
12,MG4,stor105,Battery,-0.0,-0.0,1200.0
12,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
13,MG1,mg1_gen1,Solar,106.2508543930693,0.0007534414739543536,125.0
13,MG1,mg1_gen2,Solar,106.25085855986129,0.000756774708930152,125.0
